ID,Name,Type,Description,Latitude,Longitude,Address,Opening Hours,,Reviews
1,Mount Fuji,Mountains,Iconic volcanic mountain,35.3606,138.7274,Shizuoka Prefecture,24-Jul,,5.0
2,Kyoto Imperial Palace,Temple,Historic palace in Kyoto,35.0274,135.7788,"Kyoto, Japan",9:00 AM - 5:00 PM,,4.7
3,Shinjuku Gyoen,Garden,Beautiful park in Tokyo,35.6852,139.71,"Tokyo, Japan",9:00 AM - 4:30 PM,,4.8
4,Osaka Castle,Castle,Famous historical castle in Osaka,34.6873,135.5259,"Osaka, Japan",9:00 AM - 5:00 PM,,4.6
5,Shibuya Crossing,City Landmark,Busy pedestrian crossing in Tokyo,35.6595,139.7004,"Tokyo, Japan",24-Jul,,4.8
6,Fushimi Inari Shrine,Temple,Known for its thousands of red torii gates,34.9671,135.7727,"Kyoto, Japan",24-Jul,,4.9
7,Himeji Castle,Castle,Well-preserved castle in Himeji,34.8396,134.6939,"Himeji, Japan",9:00 AM - 5:00 PM,,4.7
8,Ueno Park,Garden,Large public park with museums and zoo,35.7148,139.774,"Tokyo, Japan",5:00 AM - 11:00 PM,,4.6
9,Tokyo Tower,City Landmark,Iconic communications and observation tower,35.6586,139.7454,"Tokyo, Japan",9:00 AM - 11:00 PM,,4.5
10,Cherry Blossom Festival,Festival,Annual festival celebrating cherry blossoms,35.6895,139.6917,"Tokyo, Japan",Seasonal,,4.9
11,Nijo Castle,Castle,Historic castle with beautiful gardens,35.0154,135.752,"Kyoto, Japan",9:00 AM - 5:00 PM,,4.7
12,Akihabara,City Landmark,Electronic town with shops and anime culture,35.6984,139.773,"Tokyo, Japan",10:00 AM - 8:00 PM,,4.6
13,Hakone Open-Air Museum,Museum,Outdoor museum with sculptures and artworks,35.23,139.0296,"Hakone, Japan",9:00 AM - 5:00 PM,,4.8
14,Arashiyama Bamboo Grove,Garden,Scenic bamboo forest in Kyoto,35.0094,135.6674,"Kyoto, Japan",24-Jul,,4.8
15,Meiji Shrine,Temple,Shinto shrine surrounded by a forest,35.6764,139.6993,"Tokyo, Japan",5:00 AM - 6:00 PM,,4.7
16,Roppongi Hills,City Landmark,"Modern complex with shops, restaurants, and an observation deck",35.6596,139.7314,"Tokyo, Japan",10:00 AM - 8:00 PM,,4.5
